lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ wird entwickelt von Jean Lalonde unter`nVerwendung der <a href="http://ahkscript.org/">AutoHotkey</a> Programmiersprache.`n`nDeutsche Übersetzung: Edgar "Fast Edi" Hoffmann`nFranzösische Übersetzung: Jean Lalonde`nHolländische Übersetzung: Pieter Dejonghe`Koreanisch Übersetzung: Om Il-Sung`nSchwedisch Übersetzung: Åke Engelbrektson`nItalienische Übersetzung: Riccardo Leone`nSpanish translation: kiketrucker`nEnglische Gegenleser: (Hilfe willkommen)`n`nIcons von: <a href="http://www.visualpharm.com">Visual Pharm</a>`nProgramm installieren: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> von jrsoftware.org`nAutoHotkey_L v1.1 Sourcen: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Support unter <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Über - ~1~ ~2~
lAlternativeMenuTrayTipCopyLocation	Select the favorite to copy
lAlternativeMenuTrayTipEditFavorite	Select the favorite to edit
lAlternativeMenuTrayTipNewWindow	Select the folder to open in a new window
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Quick Start</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Frequently asked questions</a> • <a href="http://www.quickaccesspopup.com">Support</a>
lCopyLocationCopiedToClipboard	Path or URL copied to the Clipboard
lDiagModeCaution	~1~ läuft im Diagnose-Modus.`n`nInformationen über die Anwendungsausführung werden in der Datei:`n~2~`n gesammelt`nEs wird nichts ohne Ihr Einverständnis versendet.`n`nWollen Sie den Diagnose-Modus beibehalten?
lDiagModeExit	~1~ gesammelte Diagnose-Informationen in Datei ~2~.
lDiagModeIntro	Schicken Sie diese Datei an ahk@jeanlalonde.ca mit einer Beschreibung der Situation, welche die Diagnose ausgelöst hat.
lDiagModeSee	Wollen Sie die Diagnosedatei sehen?
lDialogAdd	Hinzufügen
lDialogAddEditFavoriteTitle	~1~ Favorite: ~4~ - ~2~ ~3~ ; CHANGED - WAS: ~1~ Favoriten - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Add Favorite - ~1~ ~2~
